"step","time","S","I","R"
933,933,17439,0,82571
934,934,17439,0,82571
935,935,17439,0,82571
936,936,17439,0,82571
937,937,17439,0,82571
938,938,17439,0,82571
939,939,17439,0,82571
940,940,17439,0,82571
941,941,17439,0,82571
942,942,17439,0,82571
943,943,17439,0,82571
944,944,17439,0,82571
945,945,17439,0,82571
946,946,17439,0,82571
947,947,17439,0,82571
948,948,17439,0,82571
949,949,17439,0,82571
950,950,17439,0,82571
951,951,17439,0,82571
952,952,17439,0,82571
953,953,17439,0,82571
954,954,17439,0,82571
955,955,17439,0,82571
956,956,17439,0,82571
957,957,17439,0,82571
958,958,17439,0,82571
959,959,17439,0,82571
960,960,17439,0,82571
961,961,17439,0,82571
962,962,17439,0,82571
963,963,17439,0,82571
964,964,17439,0,82571
965,965,17439,0,82571
966,966,17439,0,82571
967,967,17439,0,82571
968,968,17439,0,82571
969,969,17439,0,82571
970,970,17439,0,82571
971,971,17439,0,82571
972,972,17439,0,82571
973,973,17439,0,82571
974,974,17439,0,82571
975,975,17439,0,82571
976,976,17439,0,82571
977,977,17439,0,82571
978,978,17439,0,82571
979,979,17439,0,82571
980,980,17439,0,82571
981,981,17439,0,82571
982,982,17439,0,82571
983,983,17439,0,82571
984,984,17439,0,82571
985,985,17439,0,82571
986,986,17439,0,82571
987,987,17439,0,82571
988,988,17439,0,82571
989,989,17439,0,82571
990,990,17439,0,82571
991,991,17439,0,82571
992,992,17439,0,82571
993,993,17439,0,82571
994,994,17439,0,82571
995,995,17439,0,82571
996,996,17439,0,82571
997,997,17439,0,82571
998,998,17439,0,82571
999,999,17439,0,82571
1000,1000,17439,0,82571
1001,1001,17439,0,82571
1002,1002,17439,0,82571
1003,1003,17439,0,82571
1004,1004,17439,0,82571
1005,1005,17439,0,82571
1006,1006,17439,0,82571
1007,1007,17439,0,82571
1008,1008,17439,0,82571
1009,1009,17439,0,82571
1010,1010,17439,0,82571
1011,1011,17439,0,82571
1012,1012,17439,0,82571
1013,1013,17439,0,82571
1014,1014,17439,0,82571
1015,1015,17439,0,82571
1016,1016,17439,0,82571
1017,1017,17439,0,82571
1018,1018,17439,0,82571
1019,1019,17439,0,82571
1020,1020,17439,0,82571
1021,1021,17439,0,82571
1022,1022,17439,0,82571
1023,1023,17439,0,82571
1024,1024,17439,0,82571
1025,1025,17439,0,82571
1026,1026,17439,0,82571
1027,1027,17439,0,82571
1028,1028,17439,0,82571
1029,1029,17439,0,82571
1030,1030,17439,0,82571
1031,1031,17439,0,82571
1032,1032,17439,0,82571
1033,1033,17439,0,82571
1034,1034,17439,0,82571
1035,1035,17439,0,82571
1036,1036,17439,0,82571
1037,1037,17439,0,82571
1038,1038,17439,0,82571
1039,1039,17439,0,82571
1040,1040,17439,0,82571
1041,1041,17439,0,82571
1042,1042,17439,0,82571
1043,1043,17439,0,82571
1044,1044,17439,0,82571
1045,1045,17439,0,82571
1046,1046,17439,0,82571
1047,1047,17439,0,82571
1048,1048,17439,0,82571
1049,1049,17439,0,82571
1050,1050,17439,0,82571
1051,1051,17439,0,82571
1052,1052,17439,0,82571
1053,1053,17439,0,82571
1054,1054,17439,0,82571
1055,1055,17439,0,82571
1056,1056,17439,0,82571
1057,1057,17439,0,82571
1058,1058,17439,0,82571
1059,1059,17439,0,82571
1060,1060,17439,0,82571
1061,1061,17439,0,82571
1062,1062,17439,0,82571
1063,1063,17439,0,82571
1064,1064,17439,0,82571
1065,1065,17439,0,82571
1066,1066,17439,0,82571
1067,1067,17439,0,82571
1068,1068,17439,0,82571
1069,1069,17439,0,82571
1070,1070,17439,0,82571
1071,1071,17439,0,82571
1072,1072,17439,0,82571
1073,1073,17439,0,82571
1074,1074,17439,0,82571
1075,1075,17439,0,82571
1076,1076,17439,0,82571
1077,1077,17439,0,82571
1078,1078,17439,0,82571
1079,1079,17439,0,82571
1080,1080,17439,0,82571
1081,1081,17439,0,82571
1082,1082,17439,0,82571
1083,1083,17439,0,82571
1084,1084,17439,0,82571
1085,1085,17439,0,82571
1086,1086,17439,0,82571
1087,1087,17439,0,82571
1088,1088,17439,0,82571
1089,1089,17439,0,82571
1090,1090,17439,0,82571
1091,1091,17439,0,82571
1092,1092,17439,0,82571
1093,1093,17439,0,82571
1094,1094,17439,0,82571
1095,1095,17439,0,82571
1096,1096,17439,0,82571
1097,1097,17439,0,82571
1098,1098,17439,0,82571
1099,1099,17439,0,82571
1100,1100,17439,0,82571
1101,1101,17439,0,82571
1102,1102,17439,0,82571
1103,1103,17439,0,82571
1104,1104,17439,0,82571
1105,1105,17439,0,82571
1106,1106,17439,0,82571
1107,1107,17439,0,82571
1108,1108,17439,0,82571
1109,1109,17439,0,82571
1110,1110,17439,0,82571
1111,1111,17439,0,82571
1112,1112,17439,0,82571
1113,1113,17439,0,82571
1114,1114,17439,0,82571
1115,1115,17439,0,82571
1116,1116,17439,0,82571
1117,1117,17439,0,82571
1118,1118,17439,0,82571
1119,1119,17439,0,82571
1120,1120,17439,0,82571
1121,1121,17439,0,82571
1122,1122,17439,0,82571
1123,1123,17439,0,82571
1124,1124,17439,0,82571
1125,1125,17439,0,82571
1126,1126,17439,0,82571
1127,1127,17439,0,82571
1128,1128,17439,0,82571
1129,1129,17439,0,82571
1130,1130,17439,0,82571
1131,1131,17439,0,82571
